dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec,max_dv_count,Food_Insecurity_Index,DV_common_perception_score,DV_Common_Perception_norm,VAW_Perception_Score,VAW_Perception_norm,DV_Exposure,DV_Type_Count,Unsafe_Score,WellBeing_Score
1,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Rural,0,Monthly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,0,1,1,1,0,1,Seek support from a religious leader,1,Seek support from a religious leader,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,1,0.3333333333333333,1,4,0.16666666666666666,0.638888888888889
0,18 – 29 years,Single,Technical / vocational,0,Other,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,Daily,0,0,0,0,0,1,Approach community leaders for support,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
0,60 years and older,Widowed,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Not at all,Never,0,0,0,0,0,1,Talk with friends for support or guidance,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
1,30 – 39 years,Living with Partner,College,NA,Employed,0,NA,Urban,1,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,0,0,1,0,0,0,NA,1,Seek support from family,0,0,0,0,0,0,1,0,0,0,0,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,1,2,0.16666666666666666,0.7083333333333334
1,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,NA,Feels safe,Uncommon,Somewhat,Daily,1,1,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.3333333333333333,2,0.6666666666666666,1,3,0.5,0.4583333333333333
0,50 – 59 years,Living with Partner,Completed primary,NA,Employed,0,NA,Rural,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,A lot,2-3 times per week,0,0,0,0,0,1,"Other, specify",1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,NA,NA,3,1,0,0,0.5,0.625
1,50 – 59 years,Separated / Divorced,Completed secondary,NA,Employed,0,NA,Urban,0,Weekly,Several coping mechanisms (5-8),NA,NA,Feels safe,Uncommon,Somewhat,Once a week,1,1,1,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,1,0.3333333333333333,2,0.6666666666666666,1,6,0.5,0.16666666666666666
1,30 – 39 years,Living with Partner,Completed primary,1,Fulltime caretaker,0,NA,Rural,0,Monthly,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once a week,0,0,0,1,0,0,NA,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,1,2,0,0.888888888888889
0,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Rural,0,Daily,No coping mechanisms,0,NA,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Once or twice a month,0,0,0,0,0,0,NA,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,1,0.3333333333333333,0,0,0.3333333333333333,0.888888888888889
0,50 – 59 years,Separated / Divorced,Post College,NA,Employed,0,NA,Rural,0,Never,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Not at all,Once a week,0,0,0,0,0,1,Call/go to police,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,30 – 39 years,Single,College,NA,Employed,0,NA,Urban,1,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A lot,Never,0,0,0,0,0,1,Seek support from family,1,Seek support from family,0,0,0,0,0,0,0,0,0,NA,0,0,6,0,1,0.3333333333333333,3,1,0,0,0.13333333333333333,0.9555555555555556
0,18 – 29 years,Single,College,NA,Employed,0,NA,Rural,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
1,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Somewhat,2-3 times per week,1,1,0,0,0,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,2,0.6666666666666666,1,3,0.5,0.5
1,50 – 59 years,Separated / Divorced,Completed secondary,NA,Employed,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,NA,Feels safe,Uncommon,Somewhat,Daily,0,1,0,0,1,1,Talk with friends for support or guidance,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.3333333333333333,2,0.6666666666666666,1,3,0.5,0.4583333333333333
0,50 – 59 years,Living with Partner,Completed primary,1,Fulltime caretaker,0,NA,Rural,0,Never,No coping mechanisms,NA,0,DK/Refusal,Don't know,Not at all,Once or twice a month,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,0,0,0,1
1,50 – 59 years,Separated / Divorced,Completed primary,NA,Employed,0,NA,Urban,0,Monthly,Some coping mechanisms (1-4),0,0,DK/Refusal,Common,A lot,2-3 times per week,1,1,0,0,0,1,Seek support from a religious leader,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.6666666666666666,3,1,1,3,0.41666666666666663,0.5694444444444444
0,50 – 59 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,A lot,Daily,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,3,1,0,0,0.5,0.8333333333333334
0,60 years and older,Living with Partner,Technical / vocational,0,Other,0,NA,Urban,0,Monthly,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,Somewhat,Daily,0,0,0,0,0,0,NA,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,2,0.6666666666666666,0,0,0.3333333333333333,0.888888888888889
0,18 – 29 years,Single,Technical / vocational,NA,Employed,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Uncommon,Somewhat,Never,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,2,0.6666666666666666,0,0,0.5,0.8333333333333334
1,50 – 59 years,Living with Partner,Post College,NA,Employed,0,NA,Urban,0,Daily,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,1,0,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,1,3,0.16666666666666666,0.6527777777777778
1,30 – 39 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Urban,0,Monthly,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Somewhat,Daily,0,1,0,0,0,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,2,0.6666666666666666,1,2,0.5,0.5555555555555556
1,30 – 39 years,Living with Partner,College,NA,Employed,1,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,1,0,0,1,Seek support from family,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.3333333333333333,1,0.3333333333333333,1,2,0.3333333333333333,0.5125000000000001
0,30 – 39 years,Living with Partner,Technical / vocational,0,Fulltime caretaker,0,NA,Rural,0,Never,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,Once or twice a month,0,0,0,0,0,1,Seek help from shelter or safehouse for women,1,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
0,30 – 39 years,Separated / Divorced,College,NA,Employed,0,NA,Urban,1,Never,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Never,0,0,0,0,0,1,Seek support from family,1,Seek support from family,0,0,0,0,0,0,0,0,0,NA,0,0,6,0,3,1,3,1,0,0,0.18181818181818182,0.9393939393939393
0,30 – 39 years,Living with Partner,College,NA,Employed,0,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Uncommon,Not at all,Daily,0,0,0,0,0,1,Seek help from shelter or safehouse for women,1,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.16666666666666666,0.9444444444444444
1,40 – 49 years,Living with Partner,College,NA,Employed,1,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,1,0,1,1,Seek support from family,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.3333333333333333,1,0.3333333333333333,1,3,0.3333333333333333,0.4625000000000001
1,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Somewhat,Daily,0,1,0,0,1,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,2,0.6666666666666666,1,3,0.5,0.5
1,18 – 29 years,Living with Partner,Technical / vocational,1,Fulltime caretaker,0,NA,Urban,1,Monthly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once a week,0,0,0,1,1,1,Seek help from shelter or safehouse for women,1,Seek support from a religious leader,0,0,0,0,0,0,1,1,0,NA,0,3,6,0.375,1,0.3333333333333333,0,0,1,3,0.23333333333333334,0.6305555555555555
0,60 years and older,Single,Completed primary,NA,Employed,0,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Don't know,A lot,Daily,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,NA,NA,3,1,0,0,1,0.4583333333333333
1,40 – 49 years,Living with Partner,Technical / vocational,NA,Employed,1,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,0,1,1,1,Seek support from family,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.3333333333333333,1,0.3333333333333333,1,3,0.3333333333333333,0.4625000000000001
0,50 – 59 years,Living with Partner,College,1,Other,0,NA,Urban,1,Monthly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once a week,0,0,0,0,0,1,Approach community leaders for support,1,Talk with friends for support or guidance,0,0,0,0,0,0,0,1,0,0,0,3,6,0.375,2,0.6666666666666666,2,0.6666666666666666,0,0,0.21212121212121213,0.8042929292929293
0,30 – 39 years,Single,College,NA,Employed,0,NA,Urban,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Very common,A lot,Never,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,0,0,0.6666666666666666,0.7777777777777778
1,30 – 39 years,Living with Partner,Completed secondary,NA,Employed,0,NA,Urban,0,Monthly,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Somewhat,Daily,1,1,0,0,0,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,2,0.6666666666666666,1,3,0.5,0.5
1,60 years and older,Living with Partner,Less than primary,0,Other,0,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once a week,1,1,1,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,1,6,0.2222222222222222,0.4675925925925926
1,18 – 29 years,Single,College,NA,Employed,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,Somewhat,2-3 times per week,1,1,0,0,1,1,Call/go to police,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,2,0.6666666666666666,1,4,0.5,0.4444444444444445
0,60 years and older,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,Somewhat,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,NA,NA,2,0.6666666666666666,0,0,0.3333333333333333,0.6805555555555556
0,50 – 59 years,Living with Partner,Post College,NA,Employed,0,NA,Rural,0,Monthly,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once a week,0,0,0,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,2,0.6666666666666666,0,0,0.4444444444444444,0.8518518518518519
0,50 – 59 years,Separated / Divorced,Completed secondary,NA,Employed,0,NA,Rural,0,Never,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,0,0,0,0,0.1111111111111111,0.9629629629629629
0,18 – 29 years,Single,Completed secondary,1,Student,1,NA,Rural,0,Weekly,Some coping mechanisms (1-4),NA,NA,Feels safe,Very common,Somewhat,Once a week,0,0,0,0,0,1,Access to women’s centres,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,3,1,2,0.6666666666666666,0,0,0.8333333333333333,0.5375
1,60 years and older,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Rural,0,Don't know,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Common,A lot,2-3 times per week,0,0,0,1,1,1,Talk with friends for support or guidance,1,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,2,0.6666666666666666,3,1,1,3,0.41666666666666663,0.6111111111111112
NA,60 years and older,Living with Partner,College,0,Other,0,NA,Urban,0,Never,Some coping mechanisms (1-4),NA,0,DK/Refusal,Uncommon,Not at all,Daily,0,0,0,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,0,0,NA,0,0.1111111111111111,0.8796296296296297
1,18 – 29 years,Single,Completed secondary,1,Student,0,NA,Urban,1,Weekly,Some coping mechanisms (1-4),0,NA,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once or twice a month,0,0,0,1,0,1,Seek help from shelter or safehouse for women,1,Access to women’s centres,1,0,0,0,0,0,0,1,0,NA,0,2,6,0.25,1,0.3333333333333333,1,0.3333333333333333,1,2,0.16666666666666666,0.75
1,18 – 29 years,Single,Completed primary,0,Student,1,NA,Rural,0,NA,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,A little bit,Daily,0,1,0,0,1,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,1,0.3333333333333333,1,3,0.3333333333333333,0.5750000000000001
NA,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,1,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Common,A little bit,Daily,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,1,0.3333333333333333,NA,0,0.5,0.75
0,30 – 39 years,Separated / Divorced,College,NA,Employed,0,NA,Urban,0,NA,No coping mechanisms,NA,0,DK/Refusal,Very uncommon,Not at all,Daily,0,0,0,0,0,1,Call/go to police,1,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,1
0,18 – 29 years,Living with Partner,Completed secondary,NA,Employed,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,A lot,Daily,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,3,1,0,0,0.5,0.8333333333333334
0,18 – 29 years,Living with Partner,Completed secondary,0,Student,0,NA,Urban,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,A little bit,Once a week,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,1,0.3333333333333333,0,0,0.3333333333333333,0.888888888888889
1,18 – 29 years,Single,College,0,Student,0,NA,Urban,0,Monthly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,2-3 times per week,1,0,0,1,1,1,Seek support from a religious leader,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,2,0.6666666666666666,1,4,0.25,0.6111111111111112
1,18 – 29 years,Single,Completed secondary,0,Student,0,NA,Urban,0,Monthly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,1,1,1,1,1,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.3333333333333333,1,0.3333333333333333,1,6,0.2222222222222222,0.42592592592592593
0,18 – 29 years,Single,Completed secondary,1,Student,0,NA,Urban,0,Never,No coping mechanisms,NA,0,DK/Refusal,Don't know,Somewhat,Daily,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,2,0.6666666666666666,0,0,0.3333333333333333,0.888888888888889
1,18 – 29 years,Single,College,1,Student,0,NA,Urban,1,Weekly,Some coping mechanisms (1-4),0,0,DK/Refusal,Very uncommon,Not at all,Once or twice a month,1,0,0,0,0,1,Approach community leaders for support,1,Seek support from a religious leader,0,0,0,0,0,0,1,1,0,1,0,2,6,0.25,0,0,0,0,1,2,0.18181818181818182,0.7449494949494949
0,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Rural,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Somewhat,Daily,0,0,0,0,0,0,NA,1,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,2,0.6666666666666666,0,0,0.3333333333333333,0.888888888888889
1,60 years and older,Single,Completed primary,NA,Employed,0,NA,Urban,0,Monthly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,1,1,1,0,1,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.6666666666666666,1,0.3333333333333333,1,5,0.25,0.3055555555555555
NA,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Rural,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Uncommon,A little bit,Daily,0,0,0,0,0,0,NA,1,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,1,0.3333333333333333,1,0.3333333333333333,NA,0,0.3333333333333333,0.888888888888889
1,60 years and older,Living with Partner,Completed primary,1,Other,0,NA,Urban,0,Once or twice,Some coping mechanisms (1-4),NA,NA,Feels safe,Uncommon,A little bit,2-3 times per week,0,1,1,0,1,1,Seek support from family,1,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,1,4,0.3333333333333333,0.5416666666666667
0,18 – 29 years,Single,Completed secondary,1,Student,0,NA,Urban,0,NA,No coping mechanisms,NA,0,DK/Refusal,Don't know,Don't know,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,NA,NA,0,0,0,1
0,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Urban,0,NA,No coping mechanisms,NA,NA,Feels safe,Very uncommon,A little bit,Daily,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,1,0.3333333333333333,0,0,0.16666666666666666,0.9444444444444444
1,18 – 29 years,Single,Completed secondary,0,Employed,0,NA,Urban,1,NA,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,1,1,1,1,1,1,Seek support from family,1,Approach community leaders for support,0,0,0,0,1,0,0,NA,NA,NA,0,3,6,0.375,1,0.3333333333333333,1,0.3333333333333333,1,6,0.07407407407407407,0.5169753086419753
0,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,0,NA,Rural,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Very uncommon,A little bit,2-3 times per week,0,0,0,0,0,0,NA,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,1,0.3333333333333333,0,0,0.16666666666666666,0.9444444444444444
0,18 – 29 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Once or twice,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Don't know,A lot,2-3 times per week,0,0,0,0,0,1,Seek support from family,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,NA,NA,3,1,0,0,0.5,0.625
0,18 – 29 years,Living with Partner,College,NA,Employed,1,NA,Rural,0,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once a week,0,0,0,0,0,1,Talk with friends for support or guidance,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,1,0.3333333333333333,1,0.3333333333333333,0,0,0.16666666666666666,0.55
1,18 – 29 years,Living with Partner,College,1,Student,0,NA,Urban,1,Weekly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Once or twice a month,1,1,1,0,0,1,Seek help from shelter or safehouse for women,1,Seek help from shelter or safehouse for women,0,0,0,0,0,0,1,1,0,NA,0,3,6,0.375,2,0.6666666666666666,1,0.3333333333333333,1,4,0.2727272727272727,0.5618686868686869
0,18 – 29 years,Single,Completed secondary,1,Unemployed,0,NA,Urban,0,Never,Several coping mechanisms (5-8),0,0,DK/Refusal,Don't know,Don't know,Daily,0,0,0,0,0,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,NA,NA,NA,NA,0,0,0,0.6666666666666666
1,18 – 29 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Monthly,Several coping mechanisms (5-8),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,1,1,1,0,1,1,Seek support from family,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,1,0.3333333333333333,1,0.3333333333333333,1,5,0.2222222222222222,0.3148148148148148
0,60 years and older,Living with Partner,Technical / vocational,0,Other,1,NA,Urban,0,Never,No coping mechanisms,NA,NA,Feels safe,Very uncommon,Somewhat,2-3 times per week,0,0,0,0,0,0,NA,1,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,2,0.6666666666666666,0,0,0.3333333333333333,0.8
0,50 – 59 years,Living with Partner,Completed primary,NA,Employed,1,NA,Urban,1,Once or twice,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Very common,A lot,2-3 times per week,0,0,0,0,0,0,NA,1,Call/go to police,0,0,0,0,0,0,0,0,0,0,0,4,6,0.5,3,1,3,1,0,0,0.18181818181818182,0.6954545454545454
NA,60 years and older,Living with Partner,College,NA,Employed,1,NA,Rural,1,Weekly,Some coping mechanisms (1-4),0,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Once or twice a month,0,0,0,0,0,1,Seek support from a religious leader,1,Seek support from a religious leader,0,NA,1,0,1,1,0,1,0,1,0,3,6,0.375,1,0.3333333333333333,2,0.6666666666666666,NA,0,0.36363636363636365,0.678409090909091
0,60 years and older,Widowed,Technical / vocational,NA,Employed,1,NA,Rural,0,Once or twice,No coping mechanisms,NA,NA,Feels safe,Very uncommon,A little bit,Never,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,1,0.3333333333333333,0,0,0.16666666666666666,0.85
0,60 years and older,Widowed,Technical / vocational,NA,Employed,1,NA,Urban,0,Daily,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,Daily,0,0,0,0,0,1,Seeking support from women’s groups/NGOs/CSOs,1,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,3,1,2,0.6666666666666666,0,0,0.41666666666666663,0.47500000000000003
