dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec,max_dv_count,Food_Insecurity_Index,DV_common_perception_score,DV_Common_Perception_norm,VAW_Perception_Score,VAW_Perception_norm,DV_Exposure,DV_Type_Count,Unsafe_Score,WellBeing_Score
1,18 – 29 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Rural,0,Monthly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,A lot,Never,1,1,1,0,0,0,NA,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,3,1,1,4,0.4444444444444444,0.5462962962962963
1,50 – 59 years,Living with Partner,Completed primary,0,Fulltime caretaker,1,NA,Rural,0,Monthly,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Uncommon,Somewhat,Once or twice a month,1,1,1,0,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,1,0.3333333333333333,2,0.6666666666666666,1,4,0.3333333333333333,0.525
1,18 – 29 years,Single,College,NA,Employed,1,NA,Urban,1,Weekly,Several coping mechanisms (5-8),0,0,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,Daily,1,1,1,0,0,0,NA,0,NA,0,0,0,0,1,1,1,1,0,0,0,5,6,0.625,3,1,2,0.6666666666666666,1,4,0.42424242424242425,0.38522727272727275
1,18 – 29 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,NA,No coping mechanisms,0,0,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Once or twice a month,1,1,0,1,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.6666666666666666,2,0.6666666666666666,1,4,0.3333333333333333,0.6666666666666667
1,50 – 59 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,0,Never,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,Not at all,Once or twice a month,1,1,1,1,0,1,Access to women’s centres,1,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.6666666666666666,0,0,1,5,0.3333333333333333,0.2777777777777778
1,50 – 59 years,Living with Partner,College,NA,Employed,0,Less,Urban,0,Don't know,No coping mechanisms,NA,NA,Feels safe,Don't know,Not at all,Never,1,1,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,NA,NA,0,0,1,4,0,0.7777777777777778
1,50 – 59 years,Widowed,College,1,Other,0,NA,Rural,0,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Very common,Somewhat,2-3 times per week,1,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,3,1,2,0.6666666666666666,1,3,0.5555555555555556,0.5231481481481481
1,30 – 39 years,Living with Partner,Completed primary,0,Fulltime caretaker,0,NA,Urban,0,Daily,Some coping mechanisms (1-4),NA,NA,Feels safe,Common,Don't know,Never,1,1,0,1,0,1,Seek support from family,1,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0.25,2,0.6666666666666666,NA,NA,1,4,0.6666666666666666,0.47222222222222227
1,30 – 39 years,Living with Partner,Less than primary,0,Fulltime caretaker,0,NA,Urban,0,Monthly,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,A lot,Never,1,1,0,1,0,1,Call/go to police,1,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,2,0.6666666666666666,3,1,1,4,0.8333333333333333,0.1666666666666667
1,30 – 39 years,Living with Partner,Completed secondary,0,Fulltime caretaker,0,NA,Urban,1,Once or twice,Some coping mechanisms (1-4),NA,0,Feels unsafe/Sometimes feels unsafe,Common,A lot,Once or twice a month,1,1,0,1,0,1,Seek support from family,1,Call/go to police,0,0,0,0,0,0,0,0,1,0,0,3,6,0.375,2,0.6666666666666666,3,1,1,4,0.26666666666666666,0.5638888888888889
1,50 – 59 years,Separated / Divorced,Technical / vocational,NA,Employed,1,NA,Urban,1,Once or twice,Several coping mechanisms (5-8),NA,NA,Feels safe,Common,A lot,Once or twice a month,1,1,0,1,0,1,"Other, specify",1,Seek support from family,0,1,0,1,0,0,0,1,0,0,1,7,6,0.875,2,0.6666666666666666,3,1,1,4,0.5185185185185185,0.28194444444444444
