dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
Others,50 – 59 years,Living with Partner,Less than primary,No,Other,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Common,Don't know,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from a religious leader,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,18 – 29 years,Single,Completed secondary,No,Student,"Yes, I have difficulties",NA,Urban,Don't know,Don't know,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Don't know,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from a religious leader,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,30 – 39 years,Living with Partner,Completed primary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Talk with friends for support or guidance,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,40 – 49 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",Less,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very common,Not at all,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Access to women’s centres,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,18 – 29 years,Single,Completed secondary,Yes,Unemployed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,A little bit,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Others,30 – 39 years,Single,Completed secondary,Yes,Unemployed,"No, I don’t have difficulties",NA,Urban,Yes,Daily,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,No,No,No,No,No,No,No,No,No,No,No,4
Others,60 years and older,Widowed,Technical / vocational,No,Other,"No, I don’t have difficulties",NA,Urban,No,NA,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,Not at all,Never,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Others,30 – 39 years,Living with Partner,Technical / vocational,No,Unemployed,"No, I don’t have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Don't know,2-3 times per week,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Others,40 – 49 years,Living with Partner,Completed primary,No,Unemployed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Not safe at all,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,Somewhat,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Others,30 – 39 years,Living with Partner,Less than primary,NA,Employed,"No, I don’t have difficulties",N/A,Rural,No,Never,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,Don't know,Once or twice a month,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Others,18 – 29 years,Single,Completed secondary,No,Student,"Yes, I have difficulties",NA,Urban,No,Don't know,No coping mechanisms,Safe,Safe,Feels safe,Common,Somewhat,Daily,Don't know,Don't know,Don't know,Don't know,Don't know,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
