dv_any_lifetime,age_group,marital_status,education_level,earns_income,employment_status,disability_status,spouse_income_relation,locality_type,feels_unsafe_home,conflict_frequency,food_insecurity_score,feels_unsafe_day,feels_unsafe_night,combined_safety_index,dv_common_perception,vaw_problem_perception,mobility_frequency,dv_physical,dv_verbal,dv_economic,dv_other,dv_sexual,will_seek_help_dv,help_source_dv,will_seek_help_harass,help_source_harass,unsafe_reason_1,unsafe_reason_2,unsafe_reason_3,unsafe_reason_4,unsafe_reason_5,unsafe_reason_6,unsafe_reason_7,unsafe_reason_8,unsafe_reason_9,unsafe_reason_10,unsafe_reason_11,food_insec
No,50 – 59 years,Widowed,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Widowed,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,NA,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Once a week,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Once a week,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,50 – 59 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Widowed,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Once a week,No,No,No,No,Yes,Yes,Access to women’s centres,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,Yes,Yes,No,No,Yes,Yes,Seek help from shelter or safehouse for women,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Very safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Call/go to police,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once a week,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek help from shelter or safehouse for women,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Less than primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Never,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,60 years and older,Living with Partner,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once a week,No,No,Yes,No,No,Yes,Seek support from family,Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,Not at all,Once a week,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Monthly,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once a week,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Living with Partner,Technical / vocational,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very uncommon,Somewhat,Daily,No,No,Yes,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Weekly,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Weekly,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,2-3 times per week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A lot,Daily,No,No,No,No,No,Yes,Talk with friends for support or guidance,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Uncommon,Not at all,Once a week,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Talk with friends for support or guidance,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Never,No,No,No,No,No,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,A lot,2-3 times per week,No,No,No,No,No,No,NA,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Very common,A lot,Once a week,No,No,No,No,No,Don't know,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Common,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,Yes,Fulltime caretaker,"No, I don’t have difficulties",NA,Rural,Yes,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Common,A little bit,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Approach community leaders for support,No,No,No,No,No,No,No,No,No,NA,No,0
No,50 – 59 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,No,No,No,No,No,Yes,Approach community leaders for support,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,60 years and older,Living with Partner,Completed primary,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,Once a week,No,No,No,No,No,Yes,Seek help from shelter or safehouse for women,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Monthly,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,60 years and older,Living with Partner,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Daily,No,No,Yes,No,Yes,Yes,Approach community leaders for support,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Yes,60 years and older,Separated / Divorced,Less than primary,NA,Employed,"Yes, I have difficulties",NA,Rural,Yes,Never,Several coping mechanisms (5-8),Very safe,Very safe,Feels safe,Very uncommon,Not at all,Daily,No,Yes,Yes,Yes,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,No,Yes,Yes,No,No,No,No,No,No,No,No,7
No,60 years and older,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Yes,60 years and older,Separated / Divorced,Completed secondary,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Very safe,Safe,Feels safe,Common,Not at all,Daily,No,No,Yes,No,Yes,Yes,Seek support from family,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Widowed,Completed primary,Yes,Fulltime caretaker,"Yes, I have difficulties",NA,Urban,No,Never,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Once or twice a month,No,No,No,No,No,Yes,Approach community leaders for support,Yes,Approach community leaders for support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
No,60 years and older,Living with Partner,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Access to women’s centres,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek help from shelter or safehouse for women,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Yes,60 years and older,Living with Partner,Technical / vocational,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,Yes,Yes,Call/go to police,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
No,60 years and older,Single,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Once or twice,No coping mechanisms,Very safe,Very safe,Feels safe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Talk with friends for support or guidance,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Never,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seek help from shelter or safehouse for women,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Monthly,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,60 years and older,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
No,60 years and older,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,No,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,No,Never,Several coping mechanisms (5-8),Very safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Call/go to police,Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,50 – 59 years,Living with Partner,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Widowed,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,NA,No coping mechanisms,Very safe,Don't know,DK/Refusal,Very uncommon,Not at all,2-3 times per week,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Technical / vocational,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,Not at all,Daily,No,No,No,No,No,Yes,Approach community leaders for support,Yes,Call helpline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Common,Not at all,Daily,No,No,No,No,No,Yes,Seek support from family,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Living with Partner,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,Some coping mechanisms (1-4),Not very safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,Daily,No,Yes,Yes,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Widowed,Completed primary,Yes,Fulltime caretaker,"Yes, I have difficulties",NA,Rural,Yes,NA,Some coping mechanisms (1-4),Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Call/go to police,No,No,Yes,No,No,No,No,NA,NA,No,No,4
No,60 years and older,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Uncommon,A little bit,Once or twice a month,No,No,No,No,No,Yes,Talk with friends for support or guidance,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Never,No,No,No,No,No,Yes,Seek support from family,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,NA,Employed,"Yes, I have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,Daily,No,No,No,No,No,Yes,Call helpline,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Yes,60 years and older,Living with Partner,Completed secondary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Once or twice a month,No,No,Yes,No,No,Yes,Seek support from family,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Widowed,Completed primary,NA,Employed,"Yes, I have difficulties",NA,Urban,Yes,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Uncommon,Somewhat,Daily,No,No,No,No,No,Yes,Approach community leaders for support,Yes,Seek support from family,No,Yes,Yes,Yes,No,No,No,No,No,NA,No,6
Yes,60 years and older,Living with Partner,College,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,Several coping mechanisms (5-8),Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,Yes,Yes,Seek help from shelter or safehouse for women,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,50 – 59 years,Living with Partner,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Never,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Not very safe,Safe,Feels unsafe/Sometimes feels unsafe,Uncommon,Not at all,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,Completed primary,No,Other,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Very uncommon,Not at all,Once or twice a month,No,No,No,No,No,Yes,Call/go to police,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,50 – 59 years,Living with Partner,College,NA,Employed,"Yes, I have difficulties",NA,Rural,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Uncommon,Not at all,Daily,Yes,No,No,No,No,No,NA,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Never,No coping mechanisms,Very safe,Safe,Feels safe,Uncommon,Not at all,Once a week,No,No,No,No,No,No,NA,Yes,Talk with friends for support or guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,NA,Employed,"Yes, I have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Somewhat,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Separated / Divorced,Completed secondary,No,Fulltime caretaker,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Approach community leaders for support,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Living with Partner,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Not very safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Very uncommon,A little bit,2-3 times per week,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,College,NA,Employed,"Yes, I have difficulties",NA,Urban,No,NA,No coping mechanisms,Very safe,Safe,Feels safe,Uncommon,Not at all,2-3 times per week,No,No,No,No,No,No,NA,Yes,Seek support from family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,Completed secondary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,NA,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Don't know,A little bit,Once or twice a month,No,No,No,No,No,Don't know,NA,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Yes,60 years and older,Living with Partner,College,NA,Employed,"Yes, I have difficulties",NA,Urban,No,Once or twice,Several coping mechanisms (5-8),Safe,Safe,Feels safe,Uncommon,Not at all,Once a week,No,No,Yes,No,No,Yes,Access to women’s centres,Yes,Access to women’s centres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
No,60 years and older,Living with Partner,Completed secondary,NA,Employed,"Yes, I have difficulties",NA,Rural,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Uncommon,A little bit,Once or twice a month,No,No,No,No,No,Yes,Seek support from family,Yes,Seek help from shelter or safehouse for women,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Widowed,Completed primary,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Never,No coping mechanisms,Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Call/go to police,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,60 years and older,Single,College,NA,Employed,"No, I don’t have difficulties",NA,Urban,No,Once or twice,No coping mechanisms,Safe,Not very safe,Feels unsafe/Sometimes feels unsafe,Common,A little bit,2-3 times per week,No,No,No,No,No,Yes,Go to health facility,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,50 – 59 years,Single,Technical / vocational,NA,Employed,"Yes, I have difficulties",NA,Rural,No,NA,Some coping mechanisms (1-4),Safe,Safe,Feels safe,Very uncommon,Not at all,Daily,No,No,No,No,No,Yes,Seek support from family,Yes,Call/go to police,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
No,60 years and older,Widowed,Technical / vocational,NA,Employed,"No, I don’t have difficulties",NA,Rural,No,Once or twice,Some coping mechanisms (1-4),Safe,Not safe at all,Feels unsafe/Sometimes feels unsafe,Common,Not at all,Once a week,No,No,No,No,No,Yes,Seeking support from women’s groups/NGOs/CSOs,Yes,Seeking support from women’s groups/NGOs/CSOs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
