"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","DV_Type"
1,"18 – 29 years","Single","College",0,"Unemployed",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,"Seeking support from women’s groups/NGOs/CSOs",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,3,1,3,1,1,6,0.916666666666667,0.0277777777777778,"Sexual_Harassment"
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once or twice a month",1,"Access to women’s centres",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,2,0.666666666666667,1,4,0.666666666666667,0.275,"Physical"
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once or twice a month",1,"Access to women’s centres",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,2,0.666666666666667,1,4,0.666666666666667,0.275,"Verbal"
1,"40 – 49 years","Living with Partner","College",NA,"Employed",1,NA,"Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once or twice a month",1,"Access to women’s centres",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,2,0.666666666666667,1,4,0.666666666666667,0.275,"Denial_of_Needs"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",1,"Weekly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",1,"Seek support from family",1,"Call/go to police",0,0,0,0,0,0,0,1,1,0,1,4,6,0.5,2,0.666666666666667,2,0.666666666666667,1,3,0.545454545454545,0.484848484848485,"Physical"
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",1,"Weekly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",1,"Seek support from family",1,"Call/go to police",0,0,0,0,0,0,0,1,1,0,1,4,6,0.5,2,0.666666666666667,2,0.666666666666667,1,3,0.545454545454545,0.484848484848485,"Verbal"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",1,NA,"Several coping mechanisms (5-8)",0,0,"Feels safe","Very common","Somewhat","Daily",1,"Talk with friends for support or guidance",0,NA,0,0,1,0,0,0,0,NA,NA,0,1,7,6,0.875,3,1,2,0.666666666666667,1,6,0.407407407407407,0.239197530864198,"Physical"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",1,NA,"Several coping mechanisms (5-8)",0,0,"Feels safe","Very common","Somewhat","Daily",1,"Talk with friends for support or guidance",0,NA,0,0,1,0,0,0,0,NA,NA,0,1,7,6,0.875,3,1,2,0.666666666666667,1,6,0.407407407407407,0.239197530864198,"Verbal"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",1,NA,"Several coping mechanisms (5-8)",0,0,"Feels safe","Very common","Somewhat","Daily",1,"Talk with friends for support or guidance",0,NA,0,0,1,0,0,0,0,NA,NA,0,1,7,6,0.875,3,1,2,0.666666666666667,1,6,0.407407407407407,0.239197530864198,"Denial_of_Needs"
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,NA,"Urban",1,NA,"Several coping mechanisms (5-8)",0,0,"Feels safe","Very common","Somewhat","Daily",1,"Talk with friends for support or guidance",0,NA,0,0,1,0,0,0,0,NA,NA,0,1,7,6,0.875,3,1,2,0.666666666666667,1,6,0.407407407407407,0.239197530864198,"Denial_of_Communication"
