"dv_any_lifetime","age_group","marital_status","education_level","earns_income","employment_status","disability_status","spouse_income_relation","locality_type","feels_unsafe_home","conflict_frequency","food_insecurity_score","feels_unsafe_day","feels_unsafe_night","combined_safety_index","dv_common_perception","vaw_problem_perception","mobility_frequency","dv_physical","dv_verbal","dv_economic","dv_other","dv_sexual","will_seek_help_dv","help_source_dv","will_seek_help_harass","help_source_harass","unsafe_reason_1","unsafe_reason_2","unsafe_reason_3","unsafe_reason_4","unsafe_reason_5","unsafe_reason_6","unsafe_reason_7","unsafe_reason_8","unsafe_reason_9","unsafe_reason_10","unsafe_reason_11","food_insec","max_dv_count","Food_Insecurity_Index","DV_common_perception_score","DV_Common_Perception_norm","VAW_Perception_Score","VAW_Perception_norm","DV_Exposure","DV_Type_Count","Unsafe_Score","WellBeing_Score","help_type_dv","mobility_num"
1,"30 – 39 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",1,NA,"Rural",0,"Weekly","No coping mechanisms",0,0.333333333333333,"Feels safe","Very common","Somewhat","Once or twice a month",1,1,1,1,0,1,"Seek support from family",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,2,0.666666666666667,1,5,0.5,0.5,"Informal",1
1,"18 – 29 years","Living with Partner","College",NA,"Employed",0,"Less","Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A lot","2-3 times per week",1,1,1,1,0,0,NA,1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,1,1,0.333333333333333,3,1,1,5,0.5,0.222222222222222,"Other/NA",3
1,"18 – 29 years","Single","College",1,"Student",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","A little bit","Daily",1,0,0,1,0,1,"Call helpline",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,1,0.333333333333333,1,0.333333333333333,1,3,0.416666666666667,0.486111111111111,"Formal",4
1,"30 – 39 years","Living with Partner","Completed primary",1,"Fulltime caretaker",0,"Same","Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","Not at all","Daily",1,0,0,1,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.333333333333333,0,0,1,3,0.25,0.625,"Informal",4
1,"18 – 29 years","Single","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Never","Some coping mechanisms (1-4)",1,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Somewhat","Daily",1,0,0,1,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,1,0.333333333333333,2,0.666666666666667,1,3,0.666666666666667,0.444444444444444,"Informal",4
1,"30 – 39 years","Single","Completed primary",NA,"Employed",0,NA,"Rural",0,NA,"Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Very common","A little bit","Daily",1,1,0,1,0,1,"Call/go to police",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,3,1,1,0.333333333333333,1,4,0.416666666666667,0.513888888888889,"Formal",4
1,"18 – 29 years","Single","Completed primary",NA,"Employed",0,NA,"Rural",1,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Uncommon","A little bit","Daily",1,1,0,1,0,1,"Seek support from family",1,"Call/go to police",0,0,0,0,0,0,0,0,1,1,0,8,6,1,1,0.333333333333333,1,0.333333333333333,1,4,0.212121212121212,0.373737373737374,"Informal",4
1,"30 – 39 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,"Weekly","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","Never",1,1,0,1,0,1,"Approach community leaders for support",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,1,0.333333333333333,0,0,1,4,0.333333333333333,0.541666666666667,"Informal",0
1,"40 – 49 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",1,"Daily","Some coping mechanisms (1-4)",0,0.333333333333333,"Feels safe","Common","Not at all","Once or twice a month",1,1,0,1,0,0,NA,1,"Call/go to police",0,0,0,1,0,0,0,0,0,0,0,2,6,0.25,2,0.666666666666667,0,0,1,4,0.181818181818182,0.633838383838384,"Other/NA",1
1,"30 – 39 years","Single","Completed primary",NA,"Employed",0,NA,"Rural",0,"Once or twice","Several coping mechanisms (5-8)",0.333333333333333,0.333333333333333,"Feels safe","Very uncommon","Not at all","Daily",1,1,0,1,0,1,"Call/go to police",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,0,0,0,0,1,4,0.166666666666667,0.472222222222222,"Formal",4
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Rural",0,"Once or twice","Some coping mechanisms (1-4)",0,0,"Feels safe","Common","Not at all","Never",1,1,0,1,0,1,"Seek support from family",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.666666666666667,0,0,1,4,0.166666666666667,0.597222222222222,"Informal",0
1,"18 – 29 years","Single","Completed secondary",NA,"Employed",0,NA,"Urban",0,"Never","Several coping mechanisms (5-8)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Uncommon","Not at all","Daily",1,0,1,1,0,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,1,0.333333333333333,0,0,1,4,0.333333333333333,0.375,"Informal",4
1,"50 – 59 years","Living with Partner","Completed secondary",1,"Fulltime caretaker",1,"Same","Urban",0,"Weekly","Several coping mechanisms (5-8)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Uncommon","Somewhat","Never",1,1,1,1,0,1,"Access to women’s centres",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,1,0.333333333333333,2,0.666666666666667,1,5,0.583333333333333,0.25,"Other/NA",0
1,"50 – 59 years","Widowed","Completed secondary",NA,"Employed",0,NA,"Rural",1,"Never","Some coping mechanisms (1-4)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","Somewhat","Once a week",1,1,1,1,0,1,"Seeking support from women’s groups/NGOs/CSOs",1,"Call helpline",1,1,0,0,0,0,0,0,0,0,0,4,6,0.5,3,1,2,0.666666666666667,1,5,0.272727272727273,0.464646464646465,"Other/NA",2
1,"18 – 29 years","Single","Completed secondary",1,"Fulltime caretaker",1,NA,"Rural",0,"Monthly","Some coping mechanisms (1-4)",0,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","2-3 times per week",1,1,1,1,0,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.666666666666667,2,0.666666666666667,1,5,0.583333333333333,0.3625,"Informal",3
1,"18 – 29 years","Single","Completed primary",1,"Unemployed",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0,0.333333333333333,"Feels safe","Common","Not at all","Daily",1,1,1,1,0,1,"Access to women’s centres",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,2,0.666666666666667,0,0,1,5,0.25,0.347222222222222,"Other/NA",4
1,"40 – 49 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,1,1,1,0,1,"Call/go to police",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,5,0.833333333333333,0.444444444444444,"Formal",3
1,"40 – 49 years","Living with Partner","Completed secondary",1,"Fulltime caretaker",0,"Less","Urban",0,"Monthly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,1,0,0,1,1,"Seek support from family",1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,3,1,1,4,0.833333333333333,0.458333333333333,"Informal",4
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Weekly","No coping mechanisms",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","2-3 times per week",1,1,0,0,1,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,1,4,0.416666666666667,0.638888888888889,"Informal",3
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",1,"Weekly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Never",1,1,0,0,1,1,"Seek support from family",1,"Approach community leaders for support",0,1,0,0,0,0,0,0,0,0,0,3,6,0.375,3,1,3,1,1,4,0.333333333333333,0.541666666666667,"Informal",0
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Daily","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","A little bit","Never",1,1,0,0,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,1,4,0.416666666666667,0.638888888888889,"Informal",0
1,"18 – 29 years","Living with Partner","Post College",NA,"Employed",0,"Less","Urban",0,"Monthly","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Daily",1,1,0,0,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,3,1,1,4,0.833333333333333,0.5,"Informal",4
1,"40 – 49 years","Living with Partner","College",NA,"Employed",0,"Same","Urban",0,"Once or twice","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Daily",1,1,0,0,1,1,"Seek support from family",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,4,0.916666666666667,0.472222222222222,"Informal",4
1,"18 – 29 years","Single","Completed secondary",0,"Student",0,NA,"Rural",0,"Monthly","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Once a week",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,4,0.916666666666667,0.472222222222222,"Informal",2
1,"30 – 39 years","Living with Partner","Less than primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once a week",1,1,0,0,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.75,2,0.666666666666667,2,0.666666666666667,1,4,0.666666666666667,0.305555555555556,"Informal",2
1,"50 – 59 years","Widowed","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Never","No coping mechanisms",0.666666666666667,0.333333333333333,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,3,1,1,4,0.666666666666667,0.555555555555556,"Informal",0
1,"60 years and older","Widowed","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,NA,"No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Once a week",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,3,1,1,4,0.833333333333333,0.5,"Informal",2
1,"40 – 49 years","Living with Partner","Completed primary",0,"Fulltime caretaker",1,NA,"Urban",0,"Monthly","Some coping mechanisms (1-4)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Once or twice a month",1,1,0,0,1,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,3,1,3,1,1,4,0.666666666666667,0.35,"Informal",1
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Monthly","Several coping mechanisms (5-8)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","Never",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,0.625,2,0.666666666666667,1,0.333333333333333,1,4,0.416666666666667,0.430555555555556,"Informal",0
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Never",1,1,0,0,1,1,"Seek support from family",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,4,0.833333333333333,0.5,"Informal",0
1,"30 – 39 years","Widowed","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,"Weekly","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once a week",1,1,0,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,4,0.583333333333333,0.583333333333333,"Informal",2
1,"18 – 29 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,"Daily","Several coping mechanisms (5-8)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Once or twice a month",1,1,1,0,1,1,"Talk with friends for support or guidance",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,2,0.666666666666667,2,0.666666666666667,1,5,0.75,0.180555555555556,"Informal",1
1,"50 – 59 years","Living with Partner","Post College",NA,"Employed",0,"Same","Urban",0,"Once or twice","No coping mechanisms",0,1,"Feels unsafe/Sometimes feels unsafe","Common","Somewhat","Daily",1,1,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,5,0.583333333333333,0.527777777777778,"Other/NA",4
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",1,NA,"Urban",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","2-3 times per week",1,1,1,0,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,2,0.666666666666667,2,0.666666666666667,1,5,0.5,0.35,"Informal",3
1,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",1,"Weekly","Some coping mechanisms (1-4)",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","Somewhat","Never",1,1,1,0,1,1,"Approach community leaders for support",1,"Approach community leaders for support",0,0,0,0,0,0,0,1,0,0,0,3,6,0.375,3,1,2,0.666666666666667,1,5,0.333333333333333,0.486111111111111,"Informal",0
1,"40 – 49 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,"Weekly","No coping mechanisms",0,0.333333333333333,"Feels safe","Common","Somewhat","Once a week",1,1,1,0,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,5,0.416666666666667,0.583333333333333,"Informal",2
1,"30 – 39 years","Living with Partner","Post College",NA,"Employed",0,"More","Rural",1,"Weekly","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","Somewhat","Daily",1,1,1,0,1,1,"Seek support from family",1,"Call/go to police",0,1,0,0,0,0,0,0,0,0,1,0,6,0,3,1,2,0.666666666666667,1,5,0.333333333333333,0.611111111111111,"Informal",4
1,"18 – 29 years","Single","Completed secondary",0,"Student",0,NA,"Rural",0,"Monthly","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Never",1,1,1,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,3,1,1,5,0.833333333333333,0.444444444444444,"Informal",0
1,"30 – 39 years","Living with Partner","Post College",0,"Fulltime caretaker",0,NA,"Rural",0,"Once or twice","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","Once a week",1,1,1,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,1,5,0.5,0.555555555555556,"Informal",2
1,"18 – 29 years","Single","College",0,"Student",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","Not at all","Once or twice a month",1,1,1,0,1,1,"Seek support from family",1,"Other, specify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,0,0,1,5,0.333333333333333,0.611111111111111,"Informal",1
1,"18 – 29 years","Single","Technical / vocational",0,"Employed",0,NA,"Urban",0,"Daily","Some coping mechanisms (1-4)",1,NA,"DK/Refusal","Common","Don't know","Daily",1,1,1,0,1,1,"Call helpline",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.666666666666667,NA,NA,1,5,0.833333333333333,0.319444444444444,"Formal",4
1,"60 years and older","Widowed","Less than primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Weekly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,1,1,0,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,3,1,3,1,1,5,0.916666666666667,0.25,"Informal",3
1,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",1,"Weekly","Some coping mechanisms (1-4)",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Once or twice a month",1,1,1,0,1,1,"Seek support from family",1,"Seek support from family",0,0,0,0,0,0,0,0,0,0,1,4,6,0.5,3,1,3,1,1,5,0.424242424242424,0.414141414141414,"Informal",1
1,"60 years and older","Widowed","Less than primary",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,1,1,0,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,5,0.916666666666667,0.416666666666667,"Informal",3
1,"18 – 29 years","Living with Partner","Post College",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","2-3 times per week",1,1,1,0,1,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,3,1,1,5,0.833333333333333,0.444444444444444,"Informal",3
1,"40 – 49 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Once a week",1,1,1,0,1,1,"Approach community leaders for support",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,5,0.833333333333333,0.444444444444444,"Informal",2
1,"30 – 39 years","Living with Partner","Post College",1,"Fulltime caretaker",0,"Less","Urban",0,"Daily","No coping mechanisms",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","2-3 times per week",1,1,1,1,1,1,"Call/go to police",1,"Call helpline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,3,1,1,6,0.833333333333333,0.388888888888889,"Formal",3
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","Once or twice a month",1,1,1,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,2,0.666666666666667,1,6,0.5,0.458333333333333,"Informal",1
1,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Urban",0,NA,"No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","2-3 times per week",1,1,1,1,1,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,6,0.5,0.5,"Informal",3
1,"50 – 59 years","Living with Partner","Completed primary",0,"Fulltime caretaker",1,NA,"Rural",0,"Monthly","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","2-3 times per week",1,1,1,1,1,1,"Seek support from family",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,6,0.5,0.45,"Informal",3
1,"18 – 29 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",1,NA,"No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","Never",1,1,1,1,1,1,"Seek support from family",1,"Seek support from family",0,0,0,0,0,0,0,0,0,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,6,0.2,0.6,"Informal",0
1,"50 – 59 years","Widowed","Completed secondary",1,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","Once or twice a month",1,1,1,1,1,1,"Seek support from family",1,"Talk with friends for support or guidance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,6,0.5,0.5,"Informal",1
1,"18 – 29 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,"Monthly","Some coping mechanisms (1-4)",0,0,"Feels safe","Common","A little bit","Never",1,1,1,1,1,1,"Seek support from family",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0.125,2,0.666666666666667,1,0.333333333333333,1,6,0.25,0.541666666666667,"Informal",0
1,"40 – 49 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",1,NA,"Rural",0,"Monthly","Some coping mechanisms (1-4)",0.333333333333333,0.333333333333333,"Feels safe","Common","A little bit","Once or twice a month",1,1,1,1,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.666666666666667,1,0.333333333333333,1,6,0.416666666666667,0.3625,"Informal",1
1,"50 – 59 years","Widowed","Post College",1,"Other",0,NA,"Urban",0,"Once or twice","Several coping mechanisms (5-8)",0,1,"Feels unsafe/Sometimes feels unsafe","Common","Not at all","Once a week",1,1,1,1,1,1,"Seek help from shelter or safehouse for women",1,"Seeking support from women’s groups/NGOs/CSOs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0.875,2,0.666666666666667,0,0,1,6,0.416666666666667,0.236111111111111,"Formal",2
1,"18 – 29 years","Single","Completed secondary",0,"Student",0,NA,"Rural",1,"Monthly","Several coping mechanisms (5-8)",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Once a week",1,1,1,1,1,1,"Approach community leaders for support",1,"Seeking support from women’s groups/NGOs/CSOs",0,0,0,0,0,0,1,0,0,0,0,5,6,0.625,3,1,3,1,1,6,0.393939393939394,0.327020202020202,"Informal",2
1,"40 – 49 years","Living with Partner","Post College",NA,"Employed",0,"Same","Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.333333333333333,"Feels safe","Common","Somewhat","Daily",1,1,1,1,1,1,"Seek support from family",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,2,0.666666666666667,1,6,0.5,0.5,"Informal",4
1,"30 – 39 years","Living with Partner","College",0,"Fulltime caretaker",0,NA,"Rural",0,"Once or twice","Some coping mechanisms (1-4)",0.333333333333333,1,"Feels unsafe/Sometimes feels unsafe","Very common","A lot","Never",1,1,0,1,1,1,"Seek support from family",1,"Approach community leaders for support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,0.5,3,1,3,1,1,5,0.833333333333333,0.277777777777778,"Informal",0
1,"18 – 29 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Rural",0,"Weekly","Some coping mechanisms (1-4)",0,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","Not at all","Once or twice a month",1,1,0,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,0.375,2,0.666666666666667,0,0,1,5,0.333333333333333,0.486111111111111,"Informal",1
1,"18 – 29 years","Living with Partner","Technical / vocational",0,"Fulltime caretaker",0,NA,"Urban",0,"Once or twice","No coping mechanisms",0.333333333333333,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Common","A little bit","Once or twice a month",1,1,0,1,1,1,"Seeking support from women’s groups/NGOs/CSOs",1,"Access to women’s centres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,1,0.333333333333333,1,5,0.5,0.555555555555556,"Other/NA",1
1,"30 – 39 years","Living with Partner","Completed primary",0,"Fulltime caretaker",0,NA,"Rural",0,NA,"No coping mechanisms",0.666666666666667,1,"Feels unsafe/Sometimes feels unsafe","Common","A lot","Once or twice a month",1,1,0,1,1,1,"Seek support from family",1,"Seek support from family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,2,0.666666666666667,3,1,1,5,0.833333333333333,0.444444444444444,"Informal",1
1,"40 – 49 years","Living with Partner","Completed secondary",0,"Fulltime caretaker",0,NA,"Urban",0,"Weekly","No coping mechanisms",0.666666666666667,0.666666666666667,"Feels unsafe/Sometimes feels unsafe","Very common","Somewhat","2-3 times per week",1,1,0,1,1,1,"Approach community leaders for support",1,"Call/go to police",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,3,1,2,0.666666666666667,1,5,0.75,0.472222222222222,"Informal",3
